12th,Functions GT,0,0,6
12th,Functions VMCW,0,0,5
12th,Inverse Trig Functions GT,0,0,0
12th,Inverse Trig Functions VMCW,0,0,0
12th,DC1 GT,0,0,7
12th,DC1 VMCW,0,0,9
12th,DC2 GT,0,0,5
12th,DC2 VMCW,0,0,6
12th,IC1 GT,0,0,3
12th,IC1 VMCW,0,0,6
12th,IC2 GT,0,0,5
12th,IC2 VMCW,0,0,6
12th,Differential Eq GT,0,0,2
12th,Differential Eq VMCW,0,0,4
12th,Matrices & Det GT,0,0,4
12th,Matrices & Det VMCW,0,0,6
12th,Vectors GT,0,0,4
12th,Vectors VMCW,0,0,6
12th,3D Geo GT,0,0,3
12th,3D Geo VMCW,0,0,6